,Company,Natural Gas,Oil,NGL,compsymbol
Total,Concho Resources Inc,1562.188,10.212,103.383,RRC
Total,occidental petroleum,371.8333333333333,0.782,0.263,OXY
Total,Chevron Corporation,1164.3333333333333,304.0,0.0,CVX
Total,Apache Corp,850.329,221.326,724.01,APA
Total,EOG Resources,191.16666666666666,0.331,0.101,EOG
Total,Hess Corp,48.081,12.764,5.69,HES
Total,Marathon Oil Corp,134.83333333333334,0.21,0.069,MRO
Total,Southwestern Energy Co,0.158,1.083,6.111,SWN
Total,Oasis Petroleum Inc,2382.6666666666665,5.779,0.0,OAS
Total,Silverbow Resorces,8045.666666666667,1.167,1.25,SBOW
Total,SM Energy,51.666666666666664,0.059,0.025,SM
Total,Concho Resources Inc,119.83333333333333,0.2,0.0,CXO
