,Company,Enterprisevalue,Ebitda,Employees,Revenue(ttm),Marketcap,compsymbol
0,Range Resources Corp.,5270000000.0,536669999.99999994,655.0,,2069999999.9999998,RRC
1,occidental petroleum,58470000000.0,9000000000.0,14400,,10060000000.0,OXY
2,Talos Energy Inc.,1440000000.0,586480000.0,440,,526490000.0,TALO
3,Chevron Corporation ,171940000000.0,20360000000.0,48200,,144800000000.0,CVX
4,Apache Corp,12630000000.0,2590000000.0,3163,,3830000000.0,APA
5,Cabot Oil & Gas Corp.,8510000000.0,831220000.0,547,,7370000000.0,COG
6,EOG Resources,25490000000.0,6340000000.0,2900,,21930000000.0,EOG
7,Hess Corp.,19100000000.0,1950000000.0,1775,,11850000000.0,HES
8,Marathon Oil Corp,8439999999.999999,2380000000.0,2000,,3460000000.0,MRO
9,Murphy Oil Corporation,8439999999.999999,2380000000.0,2000,,3460000000.0,MRO
10,Occidental Petroleum Corp.,58470000000.0,9000000000.0,14400,,10060000000.0,OXY
11,Southwestern Energy Co.,4330000000.0,778000000.0,923,,1750000000.0,SWN
12,EP Energy,59370000.0,14640000.0,8,,75670000.0,EPSN
13,Oasis Petroleum  Inc.,2760000000.0,0.0,,,54410000.0,OAS
14,SILVERBOW RESOURCES,516850000.0,220450000.0,86,,51320000.0,SBOW
15,SM Energy,2650000000.0,1100000000.0,530,,195720000.0,SM
16,Concho Resources Inc.,12490000000.0,3520000000.0,1453,,8860000000.0,CXO
17,Noble Energy Inc.,255800000000.0,0.0,,,87690000000.0,NBL.MX
